locus_SNP	locus	gRNA	cisGene	logFC	logCPM	empiricalP	empiricalFDR
rs7148456	BAG5	BAG5_1_gene	EIF5	-0.138	8.9	0.37	0.998
rs7148456	BAG5	BAG5_1_gene	TRAF3	-0.484	6.57	0.14	0.998
rs7148456	BAG5	BAG5_1_gene	CDC42BPB	0.25	6.6	0.462	0.998
rs7148456	BAG5	BAG5_1_gene	MARK3	-0.221	6.99	0.416	0.998
rs7148456	BAG5	BAG5_1_gene	CKB	0.126	10.9	0.428	0.998
rs7148456	BAG5	BAG5_1_gene	TRMT61A	-0.00853	6.64	0.976	0.998
rs7148456	BAG5	BAG5_1_gene	BAG5	-0.205	6.63	0.529	0.998
rs7148456	BAG5	BAG5_1_gene	APOPT1	-0.155	7.27	0.49	0.998
rs7148456	BAG5	BAG5_1_gene	KLC1	0.15	7.3	0.526	0.998
rs7148456	BAG5	BAG5_1_gene	ZFYVE21	-0.0234	6.82	0.935	0.998
rs7148456	BAG5	BAG5_2_gene	EIF5	-0.0774	8.89	0.616	0.999
rs7148456	BAG5	BAG5_2_gene	TRAF3	0.0137	6.52	1	1
rs7148456	BAG5	BAG5_2_gene	CDC42BPB	0.278	6.58	0.401	0.993
rs7148456	BAG5	BAG5_2_gene	MARK3	0.166	6.94	0.561	0.999
rs7148456	BAG5	BAG5_2_gene	CKB	-0.139	10.9	0.423	0.999
rs7148456	BAG5	BAG5_2_gene	TRMT61A	0.107	6.61	0.756	0.999
rs7148456	BAG5	BAG5_2_gene	BAG5	0.112	6.6	0.75	0.999
rs7148456	BAG5	BAG5_2_gene	APOPT1	-0.537	7.32	0.0202	0.985
rs7148456	BAG5	BAG5_2_gene	KLC1	-0.0693	7.32	0.76	0.999
rs7148456	BAG5	BAG5_2_gene	ZFYVE21	0.125	6.79	0.685	0.999
rs7148456	BAG5	BAG5_3_gene	EIF5	-0.239	8.9	0.131	0.995
rs7148456	BAG5	BAG5_3_gene	TRAF3	0.0925	6.5	0.817	0.995
rs7148456	BAG5	BAG5_3_gene	CDC42BPB	0.379	6.56	0.29	0.995
rs7148456	BAG5	BAG5_3_gene	MARK3	-0.133	6.95	0.636	0.995
rs7148456	BAG5	BAG5_3_gene	CKB	0.163	10.8	0.33	0.995
rs7148456	BAG5	BAG5_3_gene	TRMT61A	-0.311	6.62	0.323	0.995
rs7148456	BAG5	BAG5_3_gene	BAG5	-0.343	6.61	0.298	0.995
rs7148456	BAG5	BAG5_3_gene	APOPT1	-0.206	7.25	0.363	0.995
rs7148456	BAG5	BAG5_3_gene	KLC1	0.138	7.28	0.558	0.995
rs7148456	BAG5	BAG5_3_gene	ZFYVE21	-0.00599	6.79	0.983	1
rs12895055	BCL11B	BCL11B_1_gene	SETD3	-0.0104	6.55	0.967	0.997
rs12895055	BCL11B	BCL11B_1_gene	CCDC85C	-0.438	6.52	0.361	0.983
rs12895055	BCL11B	BCL11B_1_gene	EML1	0.724	6.55	0.216	0.983
rs12895055	BCL11B	BCL11B_1_gene	EVL	-0.22	6.73	0.627	0.989
rs12895055	BCL11B	BCL11B_1_gene	CCNK	0.261	6.93	0.565	0.983
rs12895055	BCL11B	BCL11B_1_gene	YY1	-0.448	7.37	0.167	0.983
rs12895055	BCL11B	BCL11B_2_gene	SETD3	0.0461	6.53	0.881	0.988
rs12895055	BCL11B	BCL11B_2_gene	CCDC85C	0.101	6.5	0.767	0.967
rs12895055	BCL11B	BCL11B_2_gene	EML1	0.0772	6.55	0.82	0.98
rs12895055	BCL11B	BCL11B_2_gene	EVL	0.0339	6.71	0.919	0.99
rs12895055	BCL11B	BCL11B_2_gene	CCNK	-0.108	6.94	0.693	0.957
rs12895055	BCL11B	BCL11B_2_gene	YY1	-0.199	7.36	0.371	0.873
rs12895055	BCL11B	BCL11B_3_gene	SETD3	0.64	6.53	0.238	1
rs12895055	BCL11B	BCL11B_3_gene	CCDC85C	-0.472	6.52	0.326	1
rs12895055	BCL11B	BCL11B_3_gene	EML1	-0.0744	6.56	0.911	1
rs12895055	BCL11B	BCL11B_3_gene	EVL	-0.265	6.72	0.555	1
rs12895055	BCL11B	BCL11B_3_gene	CCNK	0.188	6.93	0.671	1
rs12895055	BCL11B	BCL11B_3_gene	YY1	0.0179	7.33	0.959	1
rs7170068	CHRNA3	CHRNA3_1_gene	TMED3	0.809	7.26	0.309	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	IREB2	-0.872	6.65	0.293	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	MORF4L1	-0.0554	9.47	0.858	0.99
rs7170068	CHRNA3	CHRNA3_1_gene	CIB2	-0.778	6.86	0.284	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	IDH3A	2.57	6.61	0.0296	0.786
rs7170068	CHRNA3	CHRNA3_1_gene	WDR61	-0.647	7.1	0.343	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	CRABP1	-0.619	10.1	0.544	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	PSMA4	-0.314	9.19	0.359	0.982
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA5	-0.395	6.51	0.692	0.982
rs7170068	CHRNA3	CHRNA3_2_gene	TMED3	-0.206	7.29	0.441	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	IREB2	-0.15	6.65	0.696	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	MORF4L1	-0.0048	9.47	0.966	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	CIB2	0.266	6.84	0.441	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	IDH3A	0.0961	6.62	0.779	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	WDR61	0.0383	7.09	0.891	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	CRABP1	-0.68	10.2	0.127	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	PSMA4	-0.0943	9.19	0.485	0.998
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA5	-0.0747	6.51	0.866	0.998
rs7170068	CHRNA3	CHRNA3_3_gene	TMED3	-0.236	7.28	0.469	0.953
rs7170068	CHRNA3	CHRNA3_3_gene	IREB2	0.251	6.62	0.608	0.971
rs7170068	CHRNA3	CHRNA3_3_gene	MORF4L1	-0.17	9.49	0.266	0.916
rs7170068	CHRNA3	CHRNA3_3_gene	CIB2	0.772	6.81	0.0907	0.86
rs7170068	CHRNA3	CHRNA3_3_gene	IDH3A	-0.286	6.62	0.477	0.953
rs7170068	CHRNA3	CHRNA3_3_gene	WDR61	-0.31	7.1	0.376	0.941
rs7170068	CHRNA3	CHRNA3_3_gene	CRABP1	0.552	10	0.365	0.939
rs7170068	CHRNA3	CHRNA3_3_gene	PSMA4	0.344	9.15	0.0668	0.86
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNA5	-0.31	6.5	0.557	0.964
rs520843	GALNT10	GALNT10_1_gene	LARP1	-0.0138	7.34	0.943	0.997
rs520843	GALNT10	GALNT10_1_gene	FAM114A2	0.503	6.51	0.147	0.997
rs520843	GALNT10	GALNT10_1_gene	CNOT8	0.049	6.68	0.867	0.997
rs520843	GALNT10	GALNT10_1_gene	MRPL22	-0.0739	8.12	0.642	0.997
rs520843	GALNT10	GALNT10_2_gene	LARP1	-0.164	7.36	0.415	0.998
rs520843	GALNT10	GALNT10_2_gene	FAM114A2	0.488	6.5	0.158	0.998
rs520843	GALNT10	GALNT10_2_gene	CNOT8	0.0773	6.67	0.793	0.998
rs520843	GALNT10	GALNT10_2_gene	MRPL22	-0.0613	8.11	0.704	0.998
rs520843	GALNT10	GALNT10_3_gene	LARP1	-0.157	7.36	0.403	0.997
