locus_SNP	locus	gRNA	cisGene	logFC	logCPM	empiricalP	empiricalFDR
rs7148456	BAG5	BAG5_1_gene	TRMT61A	-0.00853	6.64	0.976	0.998
rs7148456	BAG5	BAG5_1_gene	BAG5	-0.205	6.63	0.529	0.998
rs7148456	BAG5	BAG5_1_gene	APOPT1	-0.155	7.27	0.49	0.998
rs7148456	BAG5	BAG5_1_gene	CKB	0.126	10.9	0.428	0.998
rs7148456	BAG5	BAG5_2_gene	TRMT61A	0.107	6.61	0.756	0.999
rs7148456	BAG5	BAG5_2_gene	BAG5	0.112	6.6	0.75	0.999
rs7148456	BAG5	BAG5_2_gene	APOPT1	-0.537	7.32	0.0202	0.985
rs7148456	BAG5	BAG5_2_gene	CKB	-0.139	10.9	0.423	0.999
rs7148456	BAG5	BAG5_3_gene	TRMT61A	-0.311	6.62	0.323	0.995
rs7148456	BAG5	BAG5_3_gene	BAG5	-0.343	6.61	0.298	0.995
rs7148456	BAG5	BAG5_3_gene	APOPT1	-0.206	7.25	0.363	0.995
rs7148456	BAG5	BAG5_3_gene	CKB	0.163	10.8	0.33	0.995
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA5	-0.395	6.51	0.692	0.982
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA5	-0.0747	6.51	0.866	0.998
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNA5	-0.31	6.5	0.557	0.964
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.425	7.43	0.0721	0.985
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.468	7.42	0.0506	1
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.0696	7.47	0.817	0.998
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	-0.396	7.27	0.275	0.998
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.168	7.26	0.597	0.983
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	-0.216	7.26	0.469	0.998
rs324017	NAB2	NAB2_1_gene	LRP1	0.199	6.54	0.546	0.983
rs324017	NAB2	NAB2_1_gene	NAB2	0.848	6.7	0.0186	0.983
rs324017	NAB2	NAB2_2_gene	LRP1	-0.132	6.51	0.718	0.993
rs324017	NAB2	NAB2_2_gene	NAB2	0.311	6.7	0.406	0.983
rs324017	NAB2	NAB2_3_gene	LRP1	0.998	6.51	0.0239	0.997
rs324017	NAB2	NAB2_3_gene	NAB2	-0.102	6.74	0.77	0.997
rs301791	RERE	RERE_1_gene	RERE	0.344	6.91	0.212	0.986
rs301791	RERE	RERE_2_gene	RERE	0.277	6.9	0.311	0.999
rs301791	RERE	RERE_3_gene	RERE	-0.0207	6.91	0.957	0.998
rs324015	STAT6	STAT6_1_gene	LRP1	0.29	6.51	0.443	0.997
rs324015	STAT6	STAT6_1_gene	NAB2	0.431	6.7	0.259	0.997
rs324015	STAT6	STAT6_2_gene	LRP1	-0.287	6.57	0.362	0.991
rs324015	STAT6	STAT6_2_gene	NAB2	0.261	6.73	0.421	0.997
rs324015	STAT6	STAT6_3_gene	LRP1	0.445	6.51	0.134	0.995
rs324015	STAT6	STAT6_3_gene	NAB2	0.531	6.69	0.0666	0.995
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	ZSCAN2	-0.729	6.56	0.11	0.849
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	ZSCAN2	0.307	6.57	0.658	0.982
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	ZSCAN2	1.48	6.54	0.0336	0.997
rs2027349	VPS45	VPS45_1_gene	VPS45	0.227	6.69	0.64	0.945
rs2027349	VPS45	VPS45_2_gene	VPS45	0.693	6.64	0.0078	0.999
rs2027349	VPS45	VPS45_3_gene	VPS45	1.17	6.7	0.0888	0.879
rs10933	PBRM1	PBRM1_1_gene	PBRM1	1.7	6.88	0.128	0.981
rs10933	PBRM1	PBRM1_1_gene	GLT8D1	0.668	6.81	0.449	0.987
rs10933	PBRM1	PBRM1_1_gene	GNL3	-0.233	7.6	0.618	0.987
rs10933	PBRM1	PBRM1_1_gene	SPCS1	-0.0351	8.36	0.926	0.999
rs10933	PBRM1	PBRM1_2_gene	PBRM1	0.864	6.85	0.0942	0.997
rs10933	PBRM1	PBRM1_2_gene	GLT8D1	0.225	6.79	0.627	0.997
rs10933	PBRM1	PBRM1_2_gene	GNL3	-0.0652	7.58	0.814	0.997
rs10933	PBRM1	PBRM1_2_gene	SPCS1	0.0226	8.35	0.912	0.997
rs10933	PBRM1	PBRM1_3_gene	PBRM1	0.903	6.88	0.323	0.86
rs10933	PBRM1	PBRM1_3_gene	GLT8D1	-0.176	6.81	0.82	0.968
rs10933	PBRM1	PBRM1_3_gene	GNL3	1.41	7.56	0.0265	0.594
rs10933	PBRM1	PBRM1_3_gene	SPCS1	-0.0828	8.36	0.821	0.968
