locus_SNP	locus	gRNA	cisGene	MASTcpmdetvalue	FDR
rs7148456	BAG5	BAG5_1_gene	MARK3	0.468739688198284	1
rs7148456	BAG5	BAG5_1_gene	PPP1R13B	0.54963515357221	1
rs7148456	BAG5	BAG5_1_gene	TRMT61A	0.578806779576973	1
rs7148456	BAG5	BAG5_1_gene	BAG5	0.859253455540213	1
rs7148456	BAG5	BAG5_1_gene	APOPT1	0.291431325085052	1
rs7148456	BAG5	BAG5_1_gene	CKB	0.882890728654856	1
rs7148456	BAG5	BAG5_1_gene	ZFYVE21	0.630150722018694	1
rs7148456	BAG5	BAG5_1_gene	KLC1	0.263078281498876	1
rs7148456	BAG5	BAG5_1_gene	XRCC3	0.0558158989865976	1
rs7148456	BAG5	BAG5_2_gene	MARK3	0.92763549785316	1
rs7148456	BAG5	BAG5_2_gene	PPP1R13B	0.433699481346889	1
rs7148456	BAG5	BAG5_2_gene	TRMT61A	0.876999746410981	1
rs7148456	BAG5	BAG5_2_gene	BAG5	0.834519832597478	1
rs7148456	BAG5	BAG5_2_gene	APOPT1	0.0204996999111279	1
rs7148456	BAG5	BAG5_2_gene	CKB	0.998971536125563	1
rs7148456	BAG5	BAG5_2_gene	ZFYVE21	0.95735078233975	1
rs7148456	BAG5	BAG5_2_gene	KLC1	0.910983611887071	1
rs7148456	BAG5	BAG5_2_gene	XRCC3	0.0705115088963894	1
rs7148456	BAG5	BAG5_3_gene	MARK3	0.176096185620231	1
rs7148456	BAG5	BAG5_3_gene	PPP1R13B	0.44677800337627	1
rs7148456	BAG5	BAG5_3_gene	TRMT61A	0.485319791405948	1
rs7148456	BAG5	BAG5_3_gene	BAG5	0.350970805875561	1
rs7148456	BAG5	BAG5_3_gene	APOPT1	0.263726707391937	1
rs7148456	BAG5	BAG5_3_gene	CKB	0.85727202753871	1
rs7148456	BAG5	BAG5_3_gene	ZFYVE21	0.154974797082725	1
rs7148456	BAG5	BAG5_3_gene	KLC1	0.979967232489987	1
rs7148456	BAG5	BAG5_3_gene	XRCC3	0.334005423200635	1
rs12895055	BCL11B	BCL11B_1_gene	SETD3	0.0375268711003206	1
rs12895055	BCL11B	BCL11B_1_gene	BCL11B	0.644908612355538	1
rs12895055	BCL11B	BCL11B_2_gene	SETD3	0.832235367265028	1
rs12895055	BCL11B	BCL11B_2_gene	BCL11B	0.416028954295789	1
rs12895055	BCL11B	BCL11B_3_gene	SETD3	0.0231703932051713	1
rs12895055	BCL11B	BCL11B_3_gene	BCL11B	0.644407416968147	1
rs7170068	CHRNA3	CHRNA3_1_gene	IREB2	0.633848530607295	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA3	0.749479414393552	1
rs7170068	CHRNA3	CHRNA3_1_gene	PSMA4	0.602086202024562	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA5	0.479600707562909	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNB4	1	1
rs7170068	CHRNA3	CHRNA3_1_gene	ADAMTS7	0.435803896743375	1
rs7170068	CHRNA3	CHRNA3_2_gene	IREB2	0.176220967648589	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA3	0.492658756914522	1
rs7170068	CHRNA3	CHRNA3_2_gene	PSMA4	0.682058804197384	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA5	0.960570062383594	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNB4	0.0782395081738826	1
rs7170068	CHRNA3	CHRNA3_2_gene	ADAMTS7	0.678281488573204	1
rs7170068	CHRNA3	CHRNA3_3_gene	IREB2	0.303348267893768	1
