locus_SNP	locus	gRNA	cisGene	MASTcpmdetvalue	FDR
rs7148456	BAG5	BAG5_1_gene	EIF5	0.701291487237124	1
rs7148456	BAG5	BAG5_1_gene	MARK3	0.468739688198284	1
rs7148456	BAG5	BAG5_1_gene	PPP1R13B	0.54963515357221	1
rs7148456	BAG5	BAG5_1_gene	TDRD9	1	1
rs7148456	BAG5	BAG5_1_gene	TNFAIP2	0.545685392618713	1
rs7148456	BAG5	BAG5_1_gene	LINC00677	1	1
rs7148456	BAG5	BAG5_1_gene	EXOC3L4	1	1
rs7148456	BAG5	BAG5_1_gene	TRMT61A	0.578806779576973	1
rs7148456	BAG5	BAG5_1_gene	BAG5	0.859253455540213	1
rs7148456	BAG5	BAG5_1_gene	APOPT1	0.291431325085052	1
rs7148456	BAG5	BAG5_1_gene	CKB	0.882890728654856	1
rs7148456	BAG5	BAG5_1_gene	ZFYVE21	0.630150722018694	1
rs7148456	BAG5	BAG5_1_gene	KLC1	0.263078281498876	1
rs7148456	BAG5	BAG5_1_gene	XRCC3	0.0558158989865976	1
rs7148456	BAG5	BAG5_1_gene	LINC00637	1	1
rs7148456	BAG5	BAG5_1_gene	RD3L	1	1
rs7148456	BAG5	BAG5_2_gene	EIF5	0.847489258370878	1
rs7148456	BAG5	BAG5_2_gene	MARK3	0.92763549785316	1
rs7148456	BAG5	BAG5_2_gene	PPP1R13B	0.433699481346889	1
rs7148456	BAG5	BAG5_2_gene	TDRD9	0.136388971313891	1
rs7148456	BAG5	BAG5_2_gene	TNFAIP2	0.443581369432273	1
rs7148456	BAG5	BAG5_2_gene	LINC00677	1	1
rs7148456	BAG5	BAG5_2_gene	EXOC3L4	1	1
rs7148456	BAG5	BAG5_2_gene	TRMT61A	0.876999746410981	1
rs7148456	BAG5	BAG5_2_gene	BAG5	0.834519832597478	1
rs7148456	BAG5	BAG5_2_gene	APOPT1	0.0204996999111279	1
rs7148456	BAG5	BAG5_2_gene	CKB	0.998971536125563	1
rs7148456	BAG5	BAG5_2_gene	ZFYVE21	0.95735078233975	1
rs7148456	BAG5	BAG5_2_gene	KLC1	0.910983611887071	1
rs7148456	BAG5	BAG5_2_gene	XRCC3	0.0705115088963894	1
rs7148456	BAG5	BAG5_2_gene	LINC00637	1	1
rs7148456	BAG5	BAG5_2_gene	RD3L	1	1
rs7148456	BAG5	BAG5_3_gene	EIF5	0.160886396110717	1
rs7148456	BAG5	BAG5_3_gene	MARK3	0.176096185620231	1
rs7148456	BAG5	BAG5_3_gene	PPP1R13B	0.44677800337627	1
rs7148456	BAG5	BAG5_3_gene	TDRD9	1	1
rs7148456	BAG5	BAG5_3_gene	TNFAIP2	0.464305106959517	1
